Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
19,0.2256,0.0412872862,-0.0385831312,2.0035034623,-0.2275302247,0.2596,0.0616752787,-0.2395678792,3.3721809079,0.660710832,0.5148,0.0595395667,-0.3831192736,2.8661406043,0.1271737871,0.5148,0.0595395667,-0.3831192736,2.8661406043,0.1271737871,0.82442057335,0.8270755761499998
20,0.268,0.0459565012,0.4224853891,2.3886449725,0.2794144194,0.2648,0.0430924587,0.0793413958,1.7578313659,-0.0476227156,0.4672,0.0627706938,0.0765122214,2.2281625524,-0.4591528554,0.4672,0.0627706938,0.0765122214,2.2281625524,-0.4591528554,0.7875467973999999,0.7891424392500002
21,0.2168,0.0425882613,0.0227634251,2.4427887323,0.4826839226,0.3632,0.047725884,0.0122634002,2.7671281195,-0.0704571539,0.42,0.059464275,-0.1574178935,2.5140251019,0.0741918523,0.42,0.059464275,-0.1574178935,2.5140251019,0.0741918523,0.8173009849000001,0.8184101963000001
22,0.2636,0.0376170174,0.0918761689,3.5162538424,0.6385718097,0.248,0.0397994975,-0.2608875985,2.6535812672,-0.2482138847,0.4884,0.0304210453,-0.1648596342,2.6989825273,0.0584739332,0.4884,0.0304210453,-0.1648596342,2.6989825273,0.0584739332,0.7410255091999999,0.7421007761000001
23,0.2532,0.047050611,0.1882269307,3.1899764607,0.5222329416,0.246,0.0347562944,-0.0508066799,3.5626288321,0.377272175,0.5008,0.0544,-0.0769574004,3.3859313825,0.6943138739,0.5008,0.0544,-0.0769574004,3.3859313825,0.6943138739,0.68077319268,0.685975915
24,0.3136,0.0505078212,0.2196811103,2.2148285904,-0.3771737792,0.2544,0.0609314369,0.4655149818,3.032026344,0.673991397,0.432,0.054405882,0.0090700277,2.5782834186,-0.2581199444,0.432,0.054405882,0.0090700277,2.5782834186,-0.2581199444,0.79543050495,0.7960268671
25,0.2972,0.0437739649,-0.0613784984,2.3302580445,-0.515061696,0.2332,0.0441560868,0.2295834579,1.5309266762,0.0451779022,0.4696,0.0640924333,0.2223682856,2.8614711164,0.4752688303,0.4696,0.0640924333,0.2223682856,2.8614711164,0.4752688303,0.7603252029099998,0.76054996035
26,0.3076,0.0499023046,0.1846235775,3.26061724,0.4282940565,0.2524,0.0413066581,0.3398405159,2.1119672852,-0.0961810618,0.44,0.0388844442,-0.3930481283,2.4659863946,0.0367388928,0.44,0.0388844442,-0.3930481283,2.4659863946,0.0367388928,0.656840086,0.6591111595499999
27,0.2136,0.0435320572,0.0565973959,3.8507641727,1.0183274453,0.3252,0.061065211,0.4176204889,3.0589796113,-0.3349544361,0.4612,0.0581941578,0.1910001304,5.296763245,1.145570018,0.4612,0.0581941578,0.1910001304,5.296763245,1.145570018,0.792523152755,0.7958514277000001
28,0.2332,0.0405679677,0.0889957028,2.089150377,0.2277825876,0.3416,0.0614283322,-0.1381329887,2.0089934817,0.000187199,0.4252,0.0602740408,0.0406845928,1.7650024099,0.0191129161,0.4252,0.0602740408,0.0406845928,1.7650024099,0.0191129161,0.73107193995,0.7315996556
29,0.2608,0.0499535785,0.0793637586,4.4068941563,1.036569462,0.2492,0.0487376651,-0.0829966365,2.4529309751,0.0879452359,0.49,0.0469893605,-0.2743362832,2.7459436043,-0.5528541056,0.49,0.0469893605,-0.2743362832,2.7459436043,-0.5528541056,0.77496423345,0.7771630734499999
30,0.2288,0.0324123433,0.1931685065,2.1128323861,0.199222396,0.2904,0.0438616005,-0.1174497539,3.1800986351,0.5903025986,0.4808,0.057195804,-0.0200403197,2.9061636501,-0.2634401455,0.4808,0.057195804,-0.0200403197,2.9061636501,-0.2634401455,0.7190114889000001,0.71983405305
31,0.236,0.0511468474,0.2177530086,3.1948629464,-0.3149772187,0.2896,0.0581363914,0.1493087156,2.4826520339,0.1621232441,0.4744,0.0625510991,0.216223436,2.5646266451,-0.1262239133,0.4744,0.0625510991,0.216223436,2.5646266451,-0.1262239133,0.7474431864999997,0.7476168622
32,0.2396,0.0551710069,0.4967842127,2.8658848594,0.0343751144,0.2004,0.0485369962,0.4098288483,2.819417682,0.3324395118,0.56,0.055208695,0.1864904552,2.0968958605,0.1469014297,0.56,0.055208695,0.1864904552,2.0968958605,0.1469014297,0.6393986142699999,0.6428488468
